id,countries,ISO_A3,y_1987,y_1988,y_1989,y_1990,y_1991,y_1992,y_1993,Y_1994,y_1995,y_1996,y_1997,y_1998,y_1999,y_2000,y_2001,y_2002,y_2003,y_2004,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019
181,Djibouti,DJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113553,0.255921,0.171281,0.113981,1.345205,1.522214,0.400104,0.355489,1.142667,2.159267,1.867352,2.898645,1.900267
182,Democratic Republic of the Congo,COD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.450093,1.103566,0.119218,13.675304,0.086518,5.823943,2.726646,1.159679,1.268837,0.238466,0.375051,2.079112,1.668396
183,Antigua & Barbuda,ATG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.293819,0.885924,1.290252,0.25388,0.551503,0.399906,2.013176,1.072251,2.796109,1.87173,4.257474,5.746988,1.617632
185,Dominica,DMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.395597,4.834948,1.336977,1.347441,1.45942,1.598735,2.273235,1.310431,3.344876,3.282202,2.086776,4.682491,1.515753
186,Lesotho,LSO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09428,0.128867,2.147786,1.49451,3.007409,2.172504,2.419147,2.54375,2.29466,1.10665,1.049716,1.710198,1.340794
187,Tuvalu,TUV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.488643,1.926266,0.716168,0.446376,0.194616,0.327977,0.494216,0.296276,1.54674,1.137303,1.173501,1.120297,1.174393
188,Azerbaijan,AZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.033116,1.094943,149.55486,146.441034,86.092837,84.942803,286.839284,87.149844,2.098118,2.279198,2.375916,60.974093,1.136849
189,Chad,TCD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044983,0,0.046083,0.001849,0.004319,0,0,0.11358,0.123059,0.025491,0.030962,1.073515,1.099049
191,Grenada,GRD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.001581,0,2.011169,1,0.012148,0.004572,0.067298,1.071423,1.08904,1.098559,1.154187,1.015669,1.081185
192,Eritrea,ERI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086256,1.006134,1.003973,2.020983,2.065689,3.002537,2,1.004787,1.211516,3.031508,4.044699,4.023505,1.02912
193,Montserrat,MSR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20765,1.300885,0.582846,0.372179,2.06604,0.040646,0.012906,0.300617,0.066918,2.052913,0.065765,1.018912,1.015118
194,Benin,BEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.001581,0.183951,0,0.008289,0.031113,1.018722,1.013399
