id,countries,y_1987,y_1988,y_1989,y_1990,y_1991,y_1992,y_1993,Y_1994,y_1995,y_1996,y_1997,y_1998,y_1999,y_2000,y_2001,y_2002,y_2003,y_2004,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019
139,American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.030638,11.715106,9.561314,6.33456,5.112258,5.659896,6.370402,5.973957,7.714148,13.189053,11.04477,7.78393,10.264122,11.151063
140,El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.483893,37.796071,34.255203,33.899139,29.221099,28.482974,26.187217,23.756962,28.697451,23.286882,22.004588,22.788874,16.928645,10.979348
141,Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.276219,3.617769,4.669208,2.473172,3.529868,3.170977,5.270965,14.579767,9.396707,4.243672,4.475957,4.430441,4.97482,10.514551
142,Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.869953,10.1102,18.729593,15.469188,35.498033,39.011106,18.902274,16.215382,5.528198,9.165473,13.96156,13.314744,11.403016,10.279102
143,Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.974526,10.100047,8.063884,4.433552,9.077517,5.25751,2.301145,10.057375,23.353176,6.03194,156.051772,93.065701,6.937445,10.075124
144,Seychelles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.008461,16.578879,14.163538,11.731867,11.882179,12.705449,7.816608,9.707356,10.235759,12.937915,10.884844,9.368595,13.374619,9.973495
145,Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.597647,14.929772,20.42574,24.332023,37.429487,22.871288,17.41305,13.481408,19.519207,29.624029,18.083777,25.050387,20.733655,9.903547
146,Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7337,2.398114,2.74677,0.990146,3.738688,4.465168,2.121638,3.005208,10.57598,1.891591,2.828634,5.469823,7.166656,9.447505
147,Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.176743,33.92721,45.438529,42.864542,26.827833,13.6315,4.781295,7.453855,8.463273,12.249704,12.343678,10.105364,12.562957,9.358181
148,UK Virgin Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.17336,3.220747,0.239174,2.523475,5.166837,8.955164,21.106168,3.062986,2.281312,7.391497,18.166422,37.176104,13.346185,9.185751
149,Reunion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.359952,19.855346,22.259225,21.602864,42.850335,14.698049,19.014078,9.407382,11.24367,13.4083,13.098681,11.389107,9.950079,8.245289
150,Paraguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.655977,2.372109,3.529742,1.933345,1.60004,4.763694,3.590641,3.311977,2.875793,2.929083,5.769441,8.106699,8.566496,7.981628
151,Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.978297,7.911024,8.515144,13.253404,14.296363,14.951227,18.418108,7.801545,17.650928,10.881992,11.712479,6.093823,14.090907,7.928023
152,Guatemala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.980698,43.715026,21.235994,19.956352,16.365217,24.473026,13.808254,9.903795,15.159488,11.308307,8.963122,7.662065,9.825547,7.407204
153,Cocos Keeling Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.82845,5.938713,14.558126,13.413882,12.77635,16.803574,10.331251,7.796021,6.064979,10.289383,8.583812,8.467035,7.726374,7.316892
154,Antarctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.632702,5.453619,7.784944,7.523566,6.257154,6.173825,6.097938,7.231258,7.58989,8.713677,6.526114,9.256556,7.041098,7.212623
155,Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.10902,90.751866,72.439371,17.933997,30.161728,8.205473,6.578264,49.486009,10.51517,16.815042,19.900713,31.618351,7.805637,7.060328
